"Source" "IslandID" "TaxonOrig" "GenusL69" "SpeciesL69" "SubspL69" "SpeciesID" "SubspID" "Sex" "Plumage" "BodyL" "WingL" "TailL" "BeakW" "BeakH" "LBeakL" "UBeakL" "N.UBkL" "TarsusL" "MToeL"
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza crassirostris " "Platyspiza" "crassirostris" "" "Pla.cra" "Pla.cra" "M" NA 158 83 52 10 12.5 7 16.3 "9.7" 27 NA
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza crassirostris " "Platyspiza" "crassirostris" "" "Pla.cra" "Pla.cra" "M" NA 163 85 54 10 13 7.3 18 "11" 29 NA
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza crassirostris " "Platyspiza" "crassirostris" "" "Pla.cra" "Pla.cra" "M" NA 167 81 49 9.3 12.5 7 17.5 "10" 26.5 NA
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza crassirostris " "Platyspiza" "crassirostris" "" "Pla.cra" "Pla.cra" "M" NA 158 82 55 9 12 7.5 17 "10" 26.5 NA
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza crassirostris " "Platyspiza" "crassirostris" "" "Pla.cra" "Pla.cra" "M" NA 170 87 52 10 13 7.5 17.5 "10" 27.5 NA
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza crassirostris " "Platyspiza" "crassirostris" "" "Pla.cra" "Pla.cra" "F" NA 155 81 52.5 9.3 11.5 7 15.5 "10.3" 28 NA
"Snodgrass & Heller (1904)" "Snti_Jams" "Geospiza crassirostris " "Platyspiza" "crassirostris" "" "Pla.cra" "Pla.cra" "M" NA 166 84 56 10 13.7 7.3 18.5 "11" 29 NA
"Snodgrass & Heller (1904)" "Pnz_Dnc" "Geospiza crassirostris " "Platyspiza" "crassirostris" "" "Pla.cra" "Pla.cra" "F" NA 156 80 54 10 12 7.5 17 "10.5" 23.5 NA
"Snodgrass & Heller (1904)" "SCris_Chat" "Geospiza crassirostris " "Platyspiza" "crassirostris" "" "Pla.cra" "Pla.cra" "F" NA 163 85 50 10 13 7.5 17 "10" 28.7 NA
"Snodgrass & Heller (1904)" "Pnt_Abng" "Geospiza crassirostris " "Platyspiza" "crassirostris" "" "Pla.cra" "Pla.cra" "M" NA 163 84 53 10 13 7 17.5 "11" 26 NA
